testid,X,Y,pred_x,conf_x,expert,system,questionId,Unnamed: 0,assignmentId,task,condition,time,choice,y,pred_y,conf_y,conf2,pred2,correctness,percent_correct
930268,"I found the history of Descartes bones and what became of them fascinating. I was not aware of bone collectors; both in the church and by secular persons, each with their own motives.  I liked the Intermix of history, the beliefs of Descartes, and how the gift of ""Reason"" has shaped our modern world. In the end, the author shares his philosophy, desiring a balance (perhaps a truce) between reason & religion thru the stories of modern day people. Some effected tragically by religion, while others find comfort.",1,1,0.9498269896193772,"I found the history of Descartes bones and <span class='class1'>what became of them fascinating.</span> I was not aware of bone collectors; both in the church and by secular persons, each with their own motives.  I liked the Intermix of history, the beliefs of Descartes, and how the gift of ""Reason"" has shaped our modern world. In the end, the author shares his philosophy, desiring a balance (perhaps a truce) between reason & religion thru the stories of modern day people. <span class='class0'>Some effected tragically </span>by religion, while others find comfort.","<span class=class1>I</span> <span class=class1>found</span> the history <span class=class0>of</span> Descartes <span class=class1>bones</span> and what became of them fascinating. I was not <span class=class1>aware</span> of <span class=class0>bone</span> collectors; both in the church and by secular persons, each with their own motives.  I liked the Intermix of history, the beliefs of Descartes, and how the <span class=class0>gift</span> of ""<span class=class1>Reason</span>"" has shaped <span class=class1>our</span> modern world. In the end, the author <span class=class1>shares</span> <span class=class1>his</span> philosophy, desiring a balance (perhaps a truce) between reason & <span class=class0>religion</span> thru the stories of modern day people. Some effected <span class=class0>tragically</span> by religion, while others <span class=class0>find</span> comfort.",0,0,3e5b96df,amzbook,Conf.+Single,10.726040124893188,1,1,1,0.9498269896193772,,,1,0.978021978021978
977747,"This book was a retelling of Cinderella from the Fairy Godmother's point of view. It takes some liberties with the original Cinderella story. In this book's version, the Fairy Godmother was young and beautiful like Cinderella. She majorly screwed up when trying to help Cinderella get to the ball and was banished to live as a human on earth as punishment.The beginning and middle of this book was so slow I had trouble maintaining interest. The last twenty pages were exciting - I would have expanded this section and fleshed it out more. I spent most of the book waiting for something to happen and when it finally did, it was over in a flash.",0,0,0.904761904761904,"This book was a retelling of Cinderella from the Fairy Godmother's point of view. It takes some liberties with the original Cinderella story. In this book's version, the Fairy Godmother was young and beautiful like Cinderella. She majorly screwed up when trying to help Cinderella get to the ball and was banished to live as a human on earth as punishment.The beginning and middle of this book was so slow I had trouble maintaining interest. <span class='class1'>The last twenty pages were exciting </span>- I would have expanded this section and fleshed it out more. I <span class='class0'>spent most of the book waiting for something to happen </span>and when it finally did, it was over in a flash.","This book was a retelling of Cinderella from the Fairy <span class=class0>Godmother</span>'s point of view. It takes some liberties with the original Cinderella story. In this book's version, the Fairy Godmother was young and beautiful like Cinderella. She majorly screwed up when trying to help Cinderella get to the ball and was banished to live as a human on earth as <span class=class1>punishment</span>.The <span class=class1>beginning</span> and <span class=class1>middle</span> of this book was <span class=class0>so</span> <span class=class0>slow</span> I had <span class=class0>trouble</span> <span class=class1>maintaining</span> <span class=class0>interest</span>. The last twenty <span class=class0>pages</span> were <span class=class0>exciting</span> - I <span class=class0>would</span> have expanded this section and fleshed it out more. I spent most of the book <span class=class0>waiting</span> for something to happen and when it finally did, it was over in a <span class=class1>flash</span>.",1,1,3e5b96df,amzbook,Conf.+Single,15.733932971954346,0,0,0,0.9047619047619048,,,1,0.978021978021978
548360,"This work juxtaposes the commercial trappings of the sacred holiday with the true Christmas spirit, social interference with human interdependence, individual freedoms with community obligations, and it does so by satirizing the monolithic conventions of conformity. One clever touch: the out-of-synch protagonist's surname, Krank, means &quot;sick&quot; in German, and, although he and his family are portrayed as Roman Catholics, his first name, Luther, clearly suggests a budding Protestantism, expressed not by nailing documents to a church door but by distributing among his office co-workers a memo detailing his intended non-observance. In all, a gem.",1,1,0.9498269896193772,"This work <span class='class0'>juxtaposes the commercial trappings </span>of the sacred holiday with the true Christmas spirit, social interference with human interdependence, individual freedoms with community obligations, and it does so by satirizing the monolithic conventions of conformity. One clever touch: the out-of-synch protagonist's surname, Krank, means &quot;sick&quot; in German, and, although he and his family are portrayed as Roman Catholics, his first name, Luther, clearly suggests a budding Protestantism, expressed not by nailing documents to a church door but by distributing among his office co-workers a memo detailing his intended non-observance. <span class='class1'>In all, a gem.</span>","This work juxtaposes the <span class=class0>commercial</span> trappings of the <span class=class1>sacred</span> holiday with the true <span class=class0>Christmas</span> spirit, social interference with human interdependence, individual <span class=class1>freedoms</span> with community obligations, and it does so by satirizing the monolithic conventions of conformity. One clever touch: the out-of-synch protagonist's surname, Krank, means &quot;sick&quot; in German, and, although he and his family are portrayed as Roman Catholics, his first name, Luther, clearly <span class=class0>suggests</span> a budding <span class=class0>Protestantism</span>, expressed not by nailing documents to a church door but by distributing among his office co-workers a memo detailing his intended non-observance. In all, a gem.",2,2,3e5b96df,amzbook,Conf.+Single,18.061006546020508,1,1,1,0.9498269896193772,,,1,0.989010989010989
89892,"This is the title that closes the chapter on Stephenson for me.  I'd enjoyed Snow Crash enough to overlook the accumulating cuteness that gooed up the end, and I found sufficient merit in Diamond Age to offset the even  larger splashes of the same defect marring that volume.  Despite  its ambitious conception, however, Cryptonomicon is a showcase of sloppy writing and  errors of fact.  The tone throughout is  cleverness so precious it gags.  Cute.  It's just so preciously cute.  Disappointment is compounded when a talented writer mistakes energy for effort.",0,1,0.6449459595676761,"This is the title that closes the chapter on Stephenson for me.  I'd enjoyed Snow Crash enough to overlook the accumulating cuteness that gooed up the end, and I found sufficient merit in Diamond Age to offset the even  larger splashes of the same defect marring that volume.  Despite  its ambitious conception, however, Cryptonomicon is <span class='class0'>a showcase of sloppy writing and  errors of fact.</span>  The tone throughout is  cleverness so precious it gags.  Cute.  <span class='class1'>It's just so preciously cute.</span>  Disappointment is compounded when a talented writer mistakes energy for effort.","This <span class=class1>is</span> the title that closes the chapter on Stephenson for me.  I'd <span class=class0>enjoyed</span> <span class=class0>Snow</span> Crash enough to overlook the <span class=class1>accumulating</span> cuteness that gooed up the end, and I found sufficient merit in <span class=class1>Diamond</span> <span class=class0>Age</span> to offset the even  larger splashes of the same defect marring that volume.  Despite  its ambitious conception, however, <span class=class1>Cryptonomicon</span> is a showcase of sloppy writing and  errors of fact.  The tone throughout is  <span class=class0>cleverness</span> so precious it <span class=class0>gags</span>.  Cute.  <span class=class1>It</span>'s just so preciously <span class=class1>cute</span>.  <span class=class0>Disappointment</span> is compounded when a talented writer <span class=class0>mistakes</span> energy for <span class=class0>effort</span>.",3,3,3e5b96df,amzbook,Conf.+Single,18.125477075576782,0,0,1,0.6449459595676765,,,1,0.7912087912087912
909635,"There is a lot of repetition from other books written by Dr.Weil.  Also, I believe that some of his remedies are probably not very effective.  This is not to say that anyone would be harmed by any of his suggestions.  And I think the main thrust of his writings is right on the mark.  In fact, if someone follows all his suggestions they will become healthier than they would be otherwise.  They would pay a lot more money than needed, but they would surely benefit - unless their health has gone down past the point of no return.",1,0,0.904761904761904,"There is a lot of repetition from other books written by Dr.Weil.  Also, I believe that <span class='class0'>some of his remedies are probably not very effective.</span>  This is not to say that anyone would be harmed by any of his suggestions.  And I think the <span class='class1'>main thrust of his writings is right on the mark.</span>  In fact, if someone follows all his suggestions they will become healthier than they would be otherwise.  They would pay a lot more money than needed, but they would surely benefit - unless their health has gone down past the point of no return.","There is <span class=class0>a</span> lot <span class=class0>of</span> <span class=class0>repetition</span> from other <span class=class1>books</span> written by <span class=class0>Dr</span>.<span class=class0>Weil</span>.  <span class=class0>Also</span>, I believe that some of his remedies are probably <span class=class0>not</span> very <span class=class1>effective</span>.  This is not to <span class=class1>say</span> that anyone would be <span class=class0>harmed</span> by any of his <span class=class1>suggestions</span>.  And I think the <span class=class0>main</span> <span class=class0>thrust</span> of his <span class=class0>writings</span> is <span class=class1>right</span> <span class=class0>on</span> the mark.  In <span class=class0>fact</span>, if someone <span class=class1>follows</span> all his suggestions they will become <span class=class1>healthier</span> than they would be otherwise.  They would pay a lot more money than needed, but they would surely benefit - unless their health has gone down past the point of <span class=class1>no</span> return.",4,4,3e5b96df,amzbook,Conf.+Single,25.41605281829834,1,1,0,0.9047619047619048,,,1,0.3956043956043956
783274,"I would not have purchased this particular edition of Snow Falling on Cedars if I had known it was published for the European market. I gave the book to an American 13 year old who is still learning rules for grammar and punctuation. Although the story is the same, the punctuation reflects the rules of Oxford English therefore, I had to tell her to ignore the punctuation so she would not pick it up and use it in her own American classroom essays. It is a learning experience, of course, but a needless one at this point.",0,0,0.904761904761904,"<span class='class0'>I would not have purchased this particular edition </span>of Snow Falling on Cedars if I had known it was published for the European market. I gave the book to an American 13 year old who is still learning rules for grammar and punctuation. Although the story is the same, the punctuation reflects the rules of Oxford English therefore, I had to tell her to ignore the punctuation so she would not pick it up and use it in her own American classroom essays. <span class='class1'>It is a learning experience,</span> of course, but a needless one at this point.","<span class=class0>I</span> would <span class=class0>not</span> have <span class=class0>purchased</span> <span class=class0>this</span> particular edition of Snow <span class=class0>Falling</span> on Cedars if I had known it was published for <span class=class1>the</span> European market. I gave the book to an <span class=class1>American</span> 13 year <span class=class0>old</span> <span class=class0>who</span> is still <span class=class1>learning</span> <span class=class0>rules</span> for grammar and <span class=class0>punctuation</span>. Although the story is the same, the punctuation reflects the rules of Oxford English therefore, I had to tell her to ignore the punctuation so she would not pick it up and use it in her own American classroom <span class=class0>essays</span>. It is a learning <span class=class1>experience</span>, of course, <span class=class0>but</span> a needless one at this point.",5,5,3e5b96df,amzbook,Conf.+Single,15.382811307907104,0,0,0,0.9047619047619048,,,1,0.9560439560439561
721903,"Donna Leon's Commissario Guido Brunetti offers firsthand glimpses into the everyday life of the police of Venice's Questore. This story breaks just as Brunetti is scheduled to take his family to the mountains to escape the sweltering heat of August in the city. No such luck for Guido, who must stay and solve an unsavory murder in the Maghera, a particularly repellent industrial section of the municipality. But the fingers of fate soon slither across the channel to entangle some of the most elevated members of Venetian life. Once again Brunetti proves that there is no substitute for thorough, if mundane, investigative work to assure that justice prevails.",1,1,0.9498269896193772,"Donna Leon's Commissario Guido Brunetti offers firsthand glimpses into the everyday life of the police of Venice's Questore. This story breaks just as Brunetti is scheduled to take his family to the mountains to escape the sweltering heat of August in the city. No such luck for Guido, who must stay and solve an unsavory murder in the Maghera, a particularly repellent industrial section of the municipality. But the fingers of fate soon slither across the channel to entangle some of the most elevated members of Venetian life. Once again Brunetti proves that <span class='class1'>there is no substitute for thorough,</span> if <span class='class0'>mundane, investigative work </span>to assure that justice prevails.","Donna Leon's Commissario Guido <span class=class1>Brunetti</span> offers firsthand glimpses into the everyday life of the police of Venice's Questore. This story breaks just as Brunetti is scheduled to take his family to the mountains to escape the sweltering heat of August <span class=class1>in</span> the city. No such luck for Guido, who must stay and solve an unsavory murder in the Maghera, a particularly repellent <span class=class0>industrial</span> section of the municipality. But the fingers of fate soon <span class=class0>slither</span> across the channel to entangle some of the <span class=class1>most</span> elevated members of Venetian life. Once again Brunetti <span class=class0>proves</span> that there is <span class=class0>no</span> <span class=class1>substitute</span> for <span class=class0>thorough</span>, if mundane, <span class=class1>investigative</span> work to assure that justice prevails.",6,6,3e5b96df,amzbook,Conf.+Single,24.949486017227173,1,1,1,0.9498269896193772,,,1,0.978021978021978
206232,"Stephanie Plum is broke.  She is desperate.  Once she learns that she can make $10,000 as a bounty hunter, she decides to learn the tricks of the trade.  Her first task is to bring in Joe Morelli, someone from her past.  Now he's a cop accused of murder and presently, on the lamb.  Stephanie learns the trade the hard way as we follow her foibles and mishaps, yet there is something endearing about her obstinate attitude.  In search of Joe, she gets mixed up with a sadistic boxer, his manager, two call girls, and a butcher.  Evanovich, the author, writes superbly with a tight plot and witty prose.  A fun read that doesn't disappoint you!",1,1,0.9498269896193772,"<span class='class0'>Stephanie Plum is broke.  She is desperate. </span> Once she learns that she can make $10,000 as a bounty hunter, she decides to learn the tricks of the trade.  Her first task is to bring in Joe Morelli, someone from her past.  Now he's a cop accused of murder and presently, on the lamb.  Stephanie learns the trade the hard way as we follow her foibles and mishaps, yet there is something endearing about her obstinate attitude.  In search of Joe, she gets mixed up with a sadistic boxer, his manager, two call girls, and a butcher.  Evanovich, the author, writes superbly with a tight plot and witty prose.  <span class='class1'>A fun read that doesn't disappoint you!</span>","Stephanie Plum is broke.  She is desperate.  Once she learns that she <span class=class0>can</span> make $10,000 as a bounty hunter, she decides <span class=class0>to</span> learn the tricks <span class=class0>of</span> the trade.  Her first task is to bring in Joe Morelli, someone from her past.  Now he's a <span class=class0>cop</span> accused of murder and presently, on the lamb.  Stephanie learns the trade the <span class=class0>hard</span> <span class=class0>way</span> as <span class=class1>we</span> <span class=class0>follow</span> her foibles and mishaps, <span class=class0>yet</span> there is something endearing about her obstinate attitude.  <span class=class1>In</span> search of Joe, she <span class=class0>gets</span> <span class=class1>mixed</span> up with a <span class=class0>sadistic</span> <span class=class0>boxer</span>, <span class=class1>his</span> manager, two call girls, and a butcher.  <span class=class1>Evanovich</span>, the author, writes <span class=class1>superbly</span> with a tight plot and witty prose.  A fun read that doesn'<span class=class0>t</span> <span class=class1>disappoint</span> you!",7,7,3e5b96df,amzbook,Conf.+Single,12.272731065750122,1,1,1,0.9498269896193772,,,1,0.989010989010989
839123,"I disagree w/last reviewer.  Flatland doesn't just lampoon the 1880's.  Victorian is Abbott's writing style.  But his social comment is as sharp today as Gulliver, and Screwtape's. If you can't spot the irony the entire  book is offensive.  If you do spot it, the parallels between say - its  women &amp; the current suppression in Afganistan, or education &amp;  Chinease purges, or angling up &amp; US college sport programs - are  hilarious and bone chilling.  Abbot's  guesses on equator based navigation  are quite accurate.  North swimming bacteria actually have a lot in common  with the travelers in Flatland.",1,1,0.8444444444444441,"I disagree w/last reviewer.  Flatland doesn't just lampoon the 1880's.  Victorian is Abbott's writing style.  But his social comment is as sharp today as Gulliver, and Screwtape's. If you can't spot the irony <span class='class0'>the entire  book is offensive.</span>  If you do spot it, the parallels between say - its  women &amp; the current suppression in Afganistan, or education &amp;  Chinease purges, or angling up &amp; US college sport programs - are  <span class='class1'>hilarious and bone chilling.</span>  Abbot's  guesses on equator based navigation  are quite accurate.  North swimming bacteria actually have a lot in common  with the travelers in Flatland.","I disagree w/last reviewer.  Flatland doesn't just lampoon the 1880's.  Victorian <span class=class0>is</span> Abbott's writing style.  But his social comment is as sharp today as Gulliver, and <span class=class1>Screwtape</span>'s. <span class=class0>If</span> you can't spot the irony the <span class=class0>entire</span>  book is <span class=class0>offensive</span>.  If you do spot it, the parallels between say - its  women &amp; the current <span class=class1>suppression</span> in <span class=class0>Afganistan</span>, or education &amp;  Chinease purges, or angling up &amp; US college sport programs - are  <span class=class1>hilarious</span> and bone <span class=class1>chilling</span>.  <span class=class0>Abbot</span>'s  guesses on equator based navigation  are quite accurate.  North swimming bacteria actually have a lot in common  with the travelers in Flatland.",8,8,3e5b96df,amzbook,Conf.+Single,19.517003059387207,1,1,1,0.8444444444444444,,,1,0.978021978021978
400029,"I bought the book because Terry Pratchett had a hand In writing it. However, it bears no resemble to any previous Pratchett novel, all of which I own and have read, including the non-Diskworld novels.This is science-fiction-with-omniscient-machine-ruling/saving-the-world, with alternative planets thrown in for good measure.  There are a few passing references to Diskworld, like the use of Lobsang, but that is as close as this book gets to being a Terry Pratchett novel.Personally I hated the book, especially the ending, which seemed meaningless, pointless and raw to me.If you, like me, were hoping for something recognizable as the work of Terry Pratchett, you will be disappointed  with this book. If you are a hardcore SciFi fan, it might be just your taste.",0,0,0.833333333333333,"I bought the book because Terry Pratchett had a hand In writing it. However, it bears no resemble to any previous Pratchett novel, all of which I own and have read, including the non-Diskworld novels.This is science-fiction-with-omniscient-machine-ruling/saving-the-world, with alternative planets thrown in for good measure.  There are a few passing references to Diskworld, like the use of Lobsang, but that is as close as this book gets to being a Terry Pratchett novel.Personally I hated the book, especially the ending, which seemed meaningless, pointless and raw to me.If you, like me, were hoping for something recognizable as the work of Terry Pratchett, <span class='class0'>you will be disappointed </span> with this book. If you are a hardcore SciFi fan, <span class='class1'>it might be just your taste.</span>","I bought the <span class=class0>book</span> because Terry <span class=class0>Pratchett</span> had a hand In writing it. However, it bears no resemble to any previous Pratchett novel, all of which I own and have read, including the non-<span class=class1>Diskworld</span> novels.<span class=class1>This</span> is science-fiction-with-<span class=class1>omniscient</span>-machine-ruling/saving-the-world, with alternative planets thrown in for good measure.  There are a few passing references to Diskworld, like the use of Lobsang, but that is as <span class=class1>close</span> as this book gets to being a Terry Pratchett novel.Personally I <span class=class0>hated</span> the book, especially the ending, which seemed meaningless, <span class=class0>pointless</span> and <span class=class1>raw</span> to me.If you, like me, were hoping for something recognizable as the work of Terry Pratchett, you will be disappointed  with this book. If you are a hardcore SciFi fan, it might be just your taste.",9,9,3e5b96df,amzbook,Conf.+Single,16.268287420272827,0,0,0,0.8333333333333334,,,1,0.989010989010989
