initial_text,initial_difference,final_text,final_difference,pred_y,true_y
"Like some other reviewers here, I had very high hopes for this book, most of which were, in fact, fulfillled. It IS, however, a very American perspective on the game which is likely to be pretty <sal0> unfulfilling for readers coming from cultures </sal0> with longer histories with soccer. Conversely, it was quite satisfying for me as an American because it does manage to capture the sense of frustration Americans have felt with the lack of traction the game has gotten in this country, and the sense of hope that it is finally reaching critical mass.If you are an American reader, and you care anything about where the game has been and where it's going, <sal1> the book is worth reading! </sal1>",0.034221768379211426,"Like some other reviewers here, I had very high hopes for this book, most of which were, in fact, fulfillled. It IS, however, a very American perspective on the game which is likely to be pretty <sal0> unfulfilling for </sal0> <sal1> readers </sal1> <sal0> coming from cultures </sal0> with longer histories with soccer. Conversely, it was quite satisfying for me as an American because it does manage to capture the sense of frustration Americans have felt with the lack of traction the game has gotten in this country, and the sense of hope that it is finally reaching critical mass.If you are an American reader, and you care anything about where the game has been and where it's going, <sal1> the book is worth reading! </sal1>",0.019537687301635742,tensor(1),tensor(1)
"Like some other reviewers here, I had very high <sal0> hopes </sal0> for this <sal0> book </sal0> , most of which were, in fact, fulfillled. It IS, <sal0> however </sal0> , a very <sal1> American perspective </sal1> on the game which is likely to be <sal0> pretty unfulfilling </sal0> for readers coming from cultures with longer histories with <sal0> soccer </sal0> . Conversely, it was quite <sal1> satisfying </sal1> for me as an American because it does manage to capture the sense of frustration Americans have felt with the <sal0> lack </sal0> of traction the game has gotten in this country, and the sense of hope that it is finally reaching critical <sal0> mass </sal0> . <sal0> If </sal0> you are an American reader, and you care anything about where the game has been and where it's going, the book is worth",0.0317380428314209,"Like some other reviewers here, I had very high <sal0> hopes </sal0> for this <sal0> book </sal0> , most of which were, in fact, fulfillled. It IS, <sal0> however </sal0> , a very <sal1> American perspective </sal1> on the game which is likely to be <sal0> pretty unfulfilling </sal0> for readers coming from cultures with longer histories with <sal0> soccer </sal0> . Conversely, it was quite <sal1> satisfying </sal1> for me as an American because it does manage to capture the sense of frustration Americans have felt with the <sal0> lack </sal0> of traction the game has gotten in this country, and the sense of hope that it is finally reaching <sal1> critical </sal1> <sal0> mass </sal0> . <sal0> If </sal0> you <sal1> are an American reader, and </sal1> you care anything about where the game has been and where it's going, the book is worth",0.02160876989364624,tensor(1),tensor(1)
"Like some other reviewers here, I had very high <sal0> hopes </sal0> for this <sal0> book </sal0> , most of which were, in fact, fulfillled. It IS, <sal0> however </sal0> , a very <sal1> American perspective </sal1> on the game which is likely to be <sal0> pretty unfulfilling </sal0> for readers coming from cultures with longer histories with <sal0> soccer </sal0> . Conversely, it was quite <sal1> satisfying </sal1> for me as an American because it does manage to capture the sense of frustration Americans have felt with the <sal0> lack </sal0> of traction the game has gotten in this country, and the sense of hope that it is finally reaching critical <sal0> mass </sal0> . <sal0> If </sal0> you are an American reader, and you care anything about where the game has been and where it's going, the book is worth",0.0317380428314209,"Like some other reviewers here, I had very high <sal0> hopes </sal0> for this <sal0> book </sal0> , most of which were, in fact, fulfillled. It IS, <sal0> however </sal0> , a very <sal1> American perspective </sal1> on the game which is likely to be <sal0> pretty unfulfilling </sal0> for readers coming from cultures with longer histories with <sal0> soccer </sal0> . Conversely, it was quite <sal1> satisfying </sal1> for me as an American because it does manage to capture the sense of frustration Americans have felt with the <sal0> lack </sal0> of traction the game has gotten in this country, and the sense of hope that it is finally reaching <sal1> critical </sal1> <sal0> mass </sal0> . <sal0> If </sal0> you <sal1> are an American reader, and </sal1> you care anything about where the game has been and where it's going, the book is worth",0.02160876989364624,tensor(1),tensor(1)
"Like some other reviewers here, I had very high hopes for this book , most of which were, in fact, fulfillled. It IS, however , a very American perspective on the game which is likely to be pretty unfulfilling for readers coming from cultures with longer histories with soccer . Conversely, it was quite satisfying for me as an American because it does manage to capture the sense of frustration Americans have felt with the lack of traction the game has gotten in this country, and the sense of hope that it is finally reaching critical mass . If you are an American reader, and you care anything about where the game has been and where it's going, the book is worth",0.036454617977142334,"Like some other reviewers here, I had very high hopes for this book , most of which were, in fact, fulfillled. It IS, however , a very American perspective on the game which is likely to be pretty unfulfilling for readers coming from cultures with longer histories with soccer . Conversely, <sal0> it was quite satisfying </sal0> for me as an American because it does manage to capture the sense of frustration Americans have felt with the lack of traction the game has gotten in this country, and the sense of hope that it is finally reaching critical mass . If you are an American reader, and you care anything about where the game has been and where it's going, the book is worth",0.01798957586288452,tensor(1),tensor(1)
"Like some other reviewers here, I had very high hopes for this book , most of which were, in fact, fulfillled. It IS, however , a very <sal1> American perspective </sal1> on the game which is likely to be pretty unfulfilling for readers coming from cultures with longer histories with soccer . Conversely, it was quite <sal1> satisfying </sal1> for me as an American because it does manage to capture the sense of frustration Americans have felt with the lack of traction the game has gotten in this country, and the sense of hope that it is finally reaching critical mass . If you are an American reader, and you care anything about where the game has been and where it's going, the book is worth",0.03364366292953491,"Like some other reviewers here, I had very high hopes for this book , most of which were, in fact, fulfillled. It <sal1> IS, however </sal1> , a very <sal1> American perspective </sal1> on the game which is likely to be pretty unfulfilling for readers coming from cultures with longer histories with soccer . Conversely, it was quite <sal1> satisfying </sal1> for me as an American because it does manage to capture the sense of frustration Americans have felt with the lack of traction the game has gotten in this country, and the sense of hope that it is finally reaching critical mass . If you are an American reader, and you care anything <sal1> about where the game has </sal1> been and where it's going, the book is worth",0.018674373626708984,tensor(1),tensor(1)
"waited so long to buy this. So many times <sal0> I passed it by because of the $9 price tag. </sal0> Was not dissapointed in the least. A lot going on here. A dubbel no doubt, but had some other craziness flying around. A lot of other people described the characteristics better in their ratings, so just look on down. All you need to know from me is, <sal1> dont pass it by just because of the price. </sal1> Just try it once",0.0444452166557312,"waited so long to buy this. So many times <sal0> I passed it by because of the $9 price tag. </sal0> Was not dissapointed in the least. A lot going on here. A dubbel no doubt, but had some other craziness flying around. A lot of other people described the characteristics better in their ratings, so <sal1> just </sal1> look on down. All you need to know from me is, <sal1> dont </sal1> <sal0> pass it </sal0> <sal1> by just because of the price. </sal1> Just try it once",0.022550225257873535,tensor(0),tensor(1)
"waited </sal0> so <sal1> long </sal1> to buy this. So many times I passed <sal1> it by because </sal1> <sal0> of </sal0> the $9 <sal0> price </sal0> tag. Was not dissapointed in the <sal0> least </sal0> . <sal1> A lot </sal1> going on here. A <sal1> dubbel </sal1> no doubt, but had some <sal0> other craziness </sal0> flying <sal1> around </sal1> . A lot of other <sal0> people </sal0> described the characteristics better in their ratings, so <sal1> just </sal1> look on down. All <sal1> you </sal1> need to know from me is, <sal1> dont </sal1> <sal0> pass </sal0> it by just because of the price. Just try it <sal0> once",0.041430115699768066,"waited so <sal1> long </sal1> to buy <sal0> this. So </sal0> many times I passed <sal1> it by </sal1> <sal0> because of the $9 price tag. </sal0> Was not dissapointed in the <sal0> least </sal0> . <sal1> A lot </sal1> going on here. A <sal1> dubbel </sal1> no doubt, but had <sal1> some other craziness </sal1> flying <sal1> around </sal1> . A lot of other <sal0> people </sal0> described the characteristics better in their ratings, so <sal1> just </sal1> look on down. <sal1> All you need to know </sal1> from me is, <sal1> dont </sal1> <sal0> pass </sal0> it by just because of the price. <sal0> Just try </sal0> it <sal0> once </sal0>",0.022125661373138428,tensor(0),tensor(1)
"waited </sal0> so <sal1> long </sal1> to buy this. So many times I passed <sal1> it by because </sal1> <sal0> of </sal0> the $9 <sal0> price </sal0> tag. Was not dissapointed in the <sal0> least </sal0> . <sal1> A lot </sal1> going on here. A <sal1> dubbel </sal1> no doubt, but had some <sal0> other craziness </sal0> flying <sal1> around </sal1> . A lot of other <sal0> people </sal0> described the characteristics better in their ratings, so <sal1> just </sal1> look on down. All <sal1> you </sal1> need to know from me is, <sal1> dont </sal1> <sal0> pass </sal0> it by just because of the price. Just try it <sal0> once",0.041430115699768066,"waited so <sal1> long </sal1> to buy <sal0> this. So </sal0> many times I passed <sal1> it by </sal1> <sal0> because of the $9 price tag. </sal0> Was not dissapointed in the <sal0> least </sal0> . <sal1> A lot </sal1> going on here. A <sal1> dubbel </sal1> no doubt, but had <sal1> some other craziness </sal1> flying <sal1> around </sal1> . A lot of other <sal0> people </sal0> described the characteristics better in their ratings, so <sal1> just </sal1> look on down. <sal1> All you need to know </sal1> from me is, <sal1> dont </sal1> <sal0> pass </sal0> it by just because of the price. <sal0> Just try </sal0> it <sal0> once </sal0>",0.022125661373138428,tensor(0),tensor(1)
"waited so long to buy this. So many times I passed it by because of the $9 price tag. Was not dissapointed in the least . A lot going on here. A dubbel no doubt, but had some other craziness flying around . A lot of other people described the characteristics better in their ratings, so just look on down. All you need to know from me is, dont pass it by just because of the price. Just try it",0.04237210750579834,"waited so long to buy this. So many times I passed it by because of the $9 price tag. Was not dissapointed in the least . A <sal1> lot going on </sal1> here. A dubbel no doubt, but had <sal0> some </sal0> other craziness flying around . A lot of other people described the characteristics better in their ratings, so just look on down. All you need to know from me is, <sal1> dont </sal1> <sal0> pass </sal0> it by just because of the price. Just try it",0.0221979022026062,tensor(0),tensor(1)
"waited </sal0> so long to buy this. So many times I passed it by because <sal0> of </sal0> the $9 <sal0> price </sal0> tag. Was not dissapointed in the <sal0> least </sal0> . A lot going on here. A dubbel no doubt, but had some <sal0> other craziness </sal0> flying around . A lot of other <sal0> people </sal0> described the characteristics better in their ratings, so just look on down. All you need to know from me is, dont <sal0> pass </sal0> it by just because of the price. Just try it <sal0> once",0.03647017478942871,"waited so long to buy <sal1> this. So many </sal1> times I passed it by because <sal0> of </sal0> the $9 <sal0> price </sal0> tag. Was not dissapointed in the <sal0> least </sal0> . A lot going on here. A dubbel no doubt, but had some <sal0> other craziness </sal0> flying around . A lot of other <sal0> people </sal0> described the characteristics better in their ratings, so just look on down. All you need to know from me is, dont <sal0> pass </sal0> it by just because of the price. Just try it <sal0> once </sal0>",0.02208191156387329,tensor(0),tensor(1)
