initial_text,initial_difference,final_text,final_difference,pred_y,true_y
"T his book takes a good look at surviving family members  and provides some interesting points about grief and how people relate to one another and to the world during and post loss. It was hard to sit down and read through the entire book, it does not capture you in that fashion. It's more like wanting to know the characters end up on the other side of their experience and are for the better. <sal0> I wouldn't reccomend this book to anyone </sal0> looking for a surface level easy read. It's more about interpersonal dynamics than character development.",0.127599835395813,"T his book takes a good look at surviving family members  and provides some interesting points about grief and how people relate to one another and to the world during and post loss. It was hard to sit down and read through the entire book, it does not capture you in that fashion. It's more like wanting to know the characters end up on the other side of their experience and are for the better. <sal0> I wouldn't reccomend this book </sal0> to anyone looking for a surface level easy read. It's more about interpersonal dynamics than character development.",0.12508654594421387,tensor(1),tensor(1)
"This book <sal0> takes </sal0> a good look at surviving family members and provides <sal0> some </sal0> interesting points about grief and how people relate to one another and to the world during and post loss. It was hard to sit down and read through the entire book, it does <sal0> not capture </sal0> you in that fashion. It's more like wanting to know the characters end up on the other side of their experience and are for the better. <sal0> I wouldn </sal0> ' <sal0> t </sal0> reccomend this book to anyone looking for a surface level easy read. It's more about <sal0> interpersonal </sal0> dynamics <sal0> than </sal0> character",0.12721598148345947,"This book takes a good look at surviving family members and provides some interesting points about grief and how people relate to one another and to the <sal0> world during </sal0> and post loss. It was hard to sit down and read through the entire book, it does not capture you in that fashion. It's more like wanting to know the characters end up on the other side of their experience and are for the better. I wouldn ' t reccomend this book to anyone looking for a surface level easy read. It's more about interpersonal dynamics than character",0.12458741664886475,tensor(1),tensor(1)
"This <sal1> book </sal1> <sal0> takes </sal0> a good look at <sal1> surviving </sal1> family members and provides <sal0> some </sal0> interesting <sal1> points </sal1> about grief and how people relate to one another and to the world during and <sal1> post </sal1> loss. It was <sal1> hard </sal1> to <sal1> sit down </sal1> and <sal1> read </sal1> through the entire book, it does <sal0> not capture </sal0> you in that fashion. It's more like wanting to know the characters end up on the other side of their <sal1> experience </sal1> and are for the better. <sal0> I wouldn </sal0> ' <sal0> t </sal0> reccomend this book to anyone looking for a <sal1> surface </sal1> level easy read. It's more about <sal0> interpersonal </sal0> <sal1> dynamics </sal1> <sal0> than </sal0> character",0.12721598148345947,"<sal1> This book takes a good look at surviving family members and </sal1> provides some interesting points about grief and how people relate to one another and to the world during and post <sal0> loss. It was hard to sit </sal0> down and read through the entire book, it does not capture you in that fashion. It's more like wanting to know the characters end up on the other side of their experience and are for the better. <sal0> I wouldn ' t reccomend </sal0> this book to anyone looking for a surface level easy read. It's more about interpersonal dynamics than character",0.12504303455352783,tensor(1),tensor(1)
"This book takes a good look at surviving family members and provides some interesting points about grief and how people relate to one another and to the world during and post loss. It was hard to sit down and read through the entire book, it does not capture you in that fashion. It's more like wanting to know the characters end up on the other side of their experience and are for the better. I wouldn ' t reccomend this book to anyone looking for a surface level easy read. It's more about interpersonal dynamics than character",0.12752997875213623,"This book takes a good look at surviving family members and provides some interesting points about grief and how people relate to one another and to the <sal0> world during </sal0> and post loss. It was hard to sit down and read through the entire book, it does not capture you in that fashion. It's more like wanting to know the characters end up on the other side of their experience and are for the better. I wouldn ' t reccomend this book to anyone looking for a surface level easy read. It's more about interpersonal dynamics than character",0.12458741664886475,tensor(1),tensor(1)
"This book <sal0> takes </sal0> a good look at surviving family members and provides <sal0> some </sal0> interesting points about grief and how people relate to one another and to the world during and post loss. It was hard to sit down and read through the entire book, it does <sal0> not capture </sal0> you in that fashion. It's more like wanting to know the characters end up on the other side of their experience and are for the better. <sal0> I wouldn </sal0> ' <sal0> t </sal0> reccomend this book to anyone looking for a surface level easy read. It's more about <sal0> interpersonal </sal0> dynamics <sal0> than </sal0> character",0.1275157332420349,"This book takes a good look at surviving family members and provides some interesting points about grief and how people relate to one another and to the <sal0> world during </sal0> and post loss. It was hard to sit down and read through the entire book, it does not capture you in that fashion. It's more like wanting to know the characters end up on the other side of their experience and are for the better. I wouldn ' t reccomend this book to anyone looking for a surface level easy read. It's more about interpersonal dynamics than character",0.12458741664886475,tensor(1),tensor(1)
"(On tap at the brewpub) I was a little confused when I saw Ompher had an eukalyptus beer which was GREEN. This beer is GREEN too, but its certainly not eukaliptus. The english menu at the brewpub called this speciality nettle beer. And really.. it was tasty and balanced... <sal0> weird experience. </sal0> When youre in Prague, <sal1> give this beer a try! </sal1> Aroma of pepper, spinach and nettle. Slightly hoppy. Hazy, GREEN coloured with an off-white-greenish, short lasting head. Taste is of pepper, spinach and nettle (yes, its still beer..). Not artificial, like all Dum-brews. Quite dry.",0.12784510850906372,"(On tap at the brewpub) I was a little confused when I saw Ompher had an eukalyptus beer which was GREEN. This beer is GREEN too, but its certainly not eukaliptus. The english menu at the brewpub called this speciality nettle beer. And really.. it was tasty and balanced... <sal0> weird experience. </sal0> When youre in Prague, <sal1> give this beer a try! </sal1> Aroma of pepper, spinach and nettle. Slightly hoppy. Hazy, GREEN coloured with an off-white-greenish, short lasting head. Taste is of pepper, spinach and nettle (yes, its still beer..). Not artificial, like all Dum-brews. Quite dry.",0.12784510850906372,tensor(0),tensor(1)
"(On tap at the brewpub) I was a little confused when I saw Ompher had an eukalyptus beer which was GREEN. This beer is GREEN too, but its certainly not eukaliptus. The english menu at the brewpub called this speciality nettle beer. And really.. it was <sal1> tasty </sal1> and <sal1> balanced </sal1> ... weird experience. When youre in <sal1> Prague </sal1> , give this beer a try! Aroma of pepper, <sal0> spinach </sal0> and nettle. Slightly hoppy. Hazy, GREEN coloured with an off-white-greenish, short lasting head. Taste is of pepper, spinach and nettle (yes, its still beer..). <sal1> Not </sal1> <sal0> artificial </sal0> , like all Dum-brews. Quite",0.12778520584106445,"(On tap at the brewpub) I was a little confused when I saw Ompher had an eukalyptus beer which was GREEN. This beer is GREEN too, but its certainly not eukaliptus. The english menu at the brewpub called this speciality nettle beer. And really.. it was <sal1> tasty </sal1> and <sal1> balanced </sal1> ... weird experience. When youre in <sal1> Prague </sal1> , give this beer a try! Aroma of pepper, <sal0> spinach </sal0> and nettle. Slightly hoppy. Hazy, GREEN coloured with an off-white-greenish, short lasting head. Taste is of pepper, spinach and nettle (yes, its still beer..). <sal1> Not </sal1> <sal0> artificial </sal0> , like all Dum-brews. Quite",0.12778520584106445,tensor(0),tensor(1)
"(On tap at the brewpub) I was a little confused when I saw Ompher had an eukalyptus beer which was GREEN. This beer is GREEN too, but its certainly not eukaliptus. The english menu at the brewpub called this speciality nettle beer. And really.. it was <sal1> tasty </sal1> and <sal1> balanced </sal1> ... weird experience. When youre in <sal1> Prague </sal1> , give this beer a try! Aroma of pepper, <sal0> spinach </sal0> and nettle. Slightly hoppy. Hazy, GREEN coloured with an off-white-greenish, short lasting head. Taste is of pepper, spinach and nettle (yes, its still beer..). <sal1> Not </sal1> <sal0> artificial </sal0> , like all Dum-brews. Quite",0.12778520584106445,"(On tap at the brewpub) I was a little confused when I saw Ompher had an eukalyptus beer which was GREEN. This beer is GREEN too, but its certainly not eukaliptus. The english menu at the brewpub called this speciality nettle beer. And really.. it was <sal1> tasty </sal1> and <sal1> balanced </sal1> ... weird experience. When youre in <sal1> Prague </sal1> , give this beer a try! Aroma of pepper, <sal0> spinach </sal0> and nettle. Slightly hoppy. Hazy, GREEN coloured with an off-white-greenish, short lasting head. Taste is of pepper, spinach and nettle (yes, its still beer..). <sal1> Not </sal1> <sal0> artificial </sal0> , like all Dum-brews. Quite",0.12778520584106445,tensor(0),tensor(1)
"(On tap at the brewpub) I was a little confused when I saw Ompher had an eukalyptus beer which was GREEN. This beer is GREEN too, but its certainly not eukaliptus. The english menu at the brewpub called this speciality nettle beer. And really.. it was tasty and balanced ... weird experience. When youre in Prague , give this beer a try! Aroma of pepper, spinach and nettle. Slightly hoppy. Hazy, GREEN coloured with an off-white-greenish, short lasting head. Taste is of pepper, spinach and nettle (yes, its still beer..). Not artificial , like all Dum-brews. Quite",0.12782800197601318,"(On tap at the brewpub) I was a little confused when I saw Ompher had an eukalyptus beer which was GREEN. This beer is GREEN too, but its certainly not eukaliptus. The english menu at the brewpub called this speciality nettle beer. And really.. it was tasty and balanced ... weird experience. When youre in Prague , give this beer a try! Aroma of pepper, spinach and nettle. Slightly hoppy. Hazy, GREEN coloured with an off-white-greenish, short lasting head. Taste is of pepper, spinach and nettle (yes, its still beer..). Not artificial , like all Dum-brews. Quite",0.12782800197601318,tensor(0),tensor(1)
"(On tap at the brewpub) I was a little confused when I saw Ompher had an eukalyptus beer which was GREEN. This beer is GREEN too, but its certainly not eukaliptus. The english menu at the brewpub called this speciality nettle beer. And really.. it was <sal1> tasty </sal1> and <sal1> balanced </sal1> ... weird experience. When youre in <sal1> Prague </sal1> , give this beer a try! Aroma of pepper, spinach and nettle. Slightly hoppy. Hazy, GREEN coloured with an off-white-greenish, short lasting head. Taste is of pepper, spinach and nettle (yes, its still beer..). <sal1> Not </sal1> artificial , like all Dum-brews. Quite",0.1277695894241333,"(On tap at the brewpub) I was a little confused when I saw Ompher had an eukalyptus beer which was GREEN. This beer is GREEN too, but its certainly not eukaliptus. The english menu at the brewpub called this speciality nettle beer. And really.. it was <sal1> tasty </sal1> and <sal1> balanced </sal1> ... weird experience. When youre in <sal1> Prague </sal1> , give this beer a try! Aroma of pepper, spinach and nettle. Slightly hoppy. Hazy, GREEN coloured with an off-white-greenish, short lasting head. Taste is of pepper, spinach and nettle (yes, its still beer..). <sal1> Not </sal1> artificial , like all Dum-brews. Quite",0.1277695894241333,tensor(0),tensor(1)
